condition,event_class,rule,sequences,false_alarm_event_rate,detection_event_rate,median_detection_delay_windows
clean,healthy,1_of_1,1000,0.0,,
clean,healthy,2_of_3,1000,0.0,,
clean,healthy,3_of_5,1000,0.0,,
clean,fault,1_of_1,1000,0.0,1.0,0.0
clean,fault,2_of_3,1000,0.0,1.0,1.0
clean,fault,3_of_5,1000,0.0,1.0,2.0
combined,healthy,1_of_1,1000,0.968,,
combined,healthy,2_of_3,1000,0.597,,
combined,healthy,3_of_5,1000,0.327,,
combined,fault,1_of_1,1000,0.686,0.314,0.0
combined,fault,2_of_3,1000,0.206,0.794,1.0
combined,fault,3_of_5,1000,0.06,0.94,1.0
high_noise,healthy,1_of_1,1000,0.0,,
high_noise,healthy,2_of_3,1000,0.0,,
high_noise,healthy,3_of_5,1000,0.0,,
high_noise,fault,1_of_1,1000,0.0,1.0,0.0
high_noise,fault,2_of_3,1000,0.0,1.0,1.0
high_noise,fault,3_of_5,1000,0.0,1.0,2.0
load_change,healthy,1_of_1,1000,0.0,,
load_change,healthy,2_of_3,1000,0.0,,
load_change,healthy,3_of_5,1000,0.0,,
load_change,fault,1_of_1,1000,0.0,1.0,0.0
load_change,fault,2_of_3,1000,0.0,1.0,1.0
load_change,fault,3_of_5,1000,0.0,1.0,2.0
speed_drift,healthy,1_of_1,1000,0.0,,
speed_drift,healthy,2_of_3,1000,0.0,,
speed_drift,healthy,3_of_5,1000,0.0,,
speed_drift,fault,1_of_1,1000,0.0,1.0,0.0
speed_drift,fault,2_of_3,1000,0.0,1.0,1.0
speed_drift,fault,3_of_5,1000,0.0,1.0,2.0
