condition,class,run,rms,crest,kurtosis,diff_rms,normalized_impulse
clean,healthy,1,0.4592990852163586,2.126195162283891,1.8780710050345306,0.15095477065811078,0.4504092138653454
clean,healthy,2,0.47577850202087285,2.3110757781670355,1.9192119512512609,0.15463596302792235,0.4502639308128041
clean,healthy,3,0.47834842860087495,2.3053678606300734,1.8556753111924977,0.1487432070332672,0.42358813260613865
clean,healthy,4,0.47849324043260194,2.1726971805028703,1.8656362866902991,0.14786199498493469,0.4220794856390314
clean,healthy,5,0.45898689258216896,2.450466078781345,1.8842446292272537,0.15056741522219125,0.45029731205468376
clean,healthy,6,0.4555114690630852,2.1009967126511273,1.8557336445436303,0.14972220302294922,0.4477594013268205
clean,healthy,7,0.48466566559096036,2.22608449785897,1.840112805383379,0.15263745091661715,0.4272096691425629
clean,healthy,8,0.48841884779853234,2.256681424631237,1.8340433912658014,0.1490557413962638,0.4132959004316644
clean,healthy,9,0.47767903382853066,2.0049255260094956,1.8541740256683148,0.14865682870655036,0.4237638742618308
clean,healthy,10,0.484951657778477,2.192871980140102,1.8337917774867099,0.14815223005008749,0.4136992707152917
clean,healthy,11,0.4734126258611539,2.2572158704692584,1.8435874023911016,0.1506832886329408,0.43217249125591206
clean,healthy,12,0.4602641545732102,2.3191806463423905,1.8612645198192292,0.15467853688145164,0.4584869211478072
clean,healthy,13,0.45390846751521097,2.0737917491009332,1.8907093761875595,0.1496561011301958,0.453355126673871
clean,healthy,14,0.4933356055367619,2.2642942631548393,1.8350635537225954,0.14911703249378672,0.40945892919047283
clean,healthy,15,0.476256905790735,2.53943563503519,1.8981231548141986,0.15360693649309373,0.4443567024579231
clean,healthy,16,0.4742308425329542,2.312921253727459,1.8411379138348367,0.1451162219480446,0.4152114565295575
clean,healthy,17,0.45840946220039175,2.171306895284013,1.8761322314103503,0.15083982832923298,0.45070687032212037
clean,healthy,18,0.4844096339004745,2.2586296120692237,1.852623543601581,0.14864630603308746,0.4176715931069739
clean,healthy,19,0.45489095846122474,2.1506866054624014,1.8753571716148807,0.1464730863460423,0.4409532265257949
clean,healthy,20,0.4818528785061387,2.1645535213504123,1.8378697561262474,0.14689454929224213,0.4132839968252271
clean,healthy,21,0.49220654572134376,2.1952547987196427,1.8442482407741894,0.14868678475207656,0.4102368551117367
clean,healthy,22,0.4877050096784297,2.1816558449539625,1.86095345188939,0.14831312281830134,0.41484906707633284
clean,healthy,23,0.47157979343991163,2.3782772083840262,1.8478706208165425,0.1463907333287435,0.42198224548455154
