condition,event_class,policy,sequences,false_alarm_event_rate,detection_event_rate,median_detection_delay_windows
clean,healthy,score_only,1000,0.0,,
clean,healthy,score_plus_diff,1000,0.0,,
clean,healthy,triple_evidence,1000,0.0,,
clean,fault,score_only,1000,0.0,1.0,0.0
clean,fault,score_plus_diff,1000,0.0,1.0,0.0
clean,fault,triple_evidence,1000,0.0,1.0,0.0
combined,healthy,score_only,1000,0.97,,
combined,healthy,score_plus_diff,1000,0.0,,
combined,healthy,triple_evidence,1000,0.0,,
combined,fault,score_only,1000,0.697,0.303,0
combined,fault,score_plus_diff,1000,0.0,1.0,0.0
combined,fault,triple_evidence,1000,0.0,1.0,0.0
high_noise,healthy,score_only,1000,0.0,,
high_noise,healthy,score_plus_diff,1000,0.0,,
high_noise,healthy,triple_evidence,1000,0.0,,
high_noise,fault,score_only,1000,0.0,1.0,0.0
high_noise,fault,score_plus_diff,1000,0.0,1.0,0.0
high_noise,fault,triple_evidence,1000,0.0,1.0,0.0
load_change,healthy,score_only,1000,0.0,,
load_change,healthy,score_plus_diff,1000,0.0,,
load_change,healthy,triple_evidence,1000,0.0,,
load_change,fault,score_only,1000,0.0,1.0,0.0
load_change,fault,score_plus_diff,1000,0.0,1.0,0.0
load_change,fault,triple_evidence,1000,0.0,1.0,0.0
speed_drift,healthy,score_only,1000,0.0,,
speed_drift,healthy,score_plus_diff,1000,0.0,,
speed_drift,healthy,triple_evidence,1000,0.0,,
speed_drift,fault,score_only,1000,0.0,1.0,0.0
speed_drift,fault,score_plus_diff,1000,0.0,1.0,0.0
speed_drift,fault,triple_evidence,1000,0.0,1.0,0.0
